Name,Organization,Status
James Mann,AAAS,Member
John Phillips,AAAS,Member
John Pickering,AAAS,Member
Eliphalet Porter,AAAS,Member
George Cheyne Shattuck,AAAS,Member
William Smith Shaw,AAAS,Member
Joseph Story,AAAS,Member
John Langdon Sullivan,AAAS,Member
Richard Sullivan,AAAS,Member
Redford Webster,AAAS,Member
Josiah Bartlett,AAAS,Member
Elisha Clap,AAAS,Member
James Dean,AAAS,Member
James Lloyd,AAAS,Member
Reuben Dimond Mussey,AAAS,Member
Isaac Parker,AAAS,Member
Samuel Cooper Thacher,AAAS,Member
Ebenezer Adams,AAAS,Member
Jacob Bigelow,AAAS,Member
Archibald Bruce,AAAS,Member
Henry Channing,AAAS,Member
Daniel Chipman,AAAS,Member
Charles Etter,AAAS,Member
Gotthelf Friedrich Fischer von Waldheim,AAAS,Member
Nicolaus von Fuss,AAAS,Member
Frederick Hall,AAAS,Member
Horace Holley,AAAS,Member
George Gardner Lee,AAAS,Member
Ichabod Nichols,AAAS,Member
Benjamin Lynde Oliver,AAAS,Member
Elijah Paine,AAAS,Member
Friedrich Theodor Schubert,AAAS,Member
Peter Oxenbridge Thacher,AAAS,Member
Joseph Tilden,AAAS,Member
John Dexter Treadwell,AAAS,Member
Daniel Appleton White,AAAS,Member
Leonard Woods,AAAS,Member
Rufus Wyman,AAAS,Member
Robert Adrian,AAAS,Member
Jeremiah Day,AAAS,Member
John Garnett,AAAS,Member
George Gibbs,AAAS,Member
Jacob Perkins,AAAS,Member
Abraham Rees,AAAS,Member
Asahel Stearns,AAAS,Member
William Sullivan,AAAS,Member
Samuel Swett,AAAS,Member
William Wells,AAAS,Member
Thomas Lindall Winthrop,AAAS,Member
Samuel Cary,AAAS,Member
Jose Francisco Correa de Serra,AAAS,Member
Jean Antoine Fabre,AAAS,Member
Levi Frisbie,AAAS,Member
David Hosack,AAAS,Member
Andrews Norton,AAAS,Member
Timothy Pickering,AAAS,Member
Benjamin Pickman,AAAS,Member
William Prescott,AAAS,Member
Benjamin Silliman,AAAS,Member
Horatio Gates Spafford,AAAS,Member
Moses Stuart,AAAS,Member
DeWitt Clinton,AAAS,Member
Joseph Green Cogswell,AAAS,Member
Samuel Willard,AAAS,Member
Charles Jackson,AAAS,Member
Dugald Stewart,AAAS,Member
Walter Channing,AAAS,Member
Chester Dewey,AAAS,Member
George Hayward,AAAS,Member
Benjamin Hobhouse,AAAS,Member
Bezaleel Howard,AAAS,Member
Daniel Drake,AAAS,Member
Francis Calley Gray,AAAS,Member
Nathan Hale,AAAS,Member
Peter Stephen Du Ponceau,AAAS,Member
Edward Everett,AAAS,Member
Francis Vergnies,AAAS,Member
Daniel Webster,AAAS,Member
George Ticknor,AAAS,Member
Claude Louis Berthollet,AAAS,Member
Jons Jacob Berzelius,AAAS,Member
Jean Baptiste Biot,AAAS,Member
David Brewster,AAAS,Member
John Brinkley,AAAS,Member
Johann Karl Burckhardt,AAAS,Member
Johann Tobias Burg,AAAS,Member
Georges Leopold Cuvier,AAAS,Member
Humphry Davy,AAAS,Member
Jean Baptiste Joseph Delambre,AAAS,Member
Carl Freidrich Gauss,AAAS,Member
Friedrich Wilhelm Heinrich Alexander von Humboldt,AAAS,Member
Friedrich Wilhelm Christian Karl Ferdinand von Humboldt,AAAS,Member
Pierre Simon Laplace,AAAS,Member
Bernhard August Lindenau,AAAS,Member
Barthold Georg Niebuhr,AAAS,Member
Heinrich Wilhelm Olbers,AAAS,Member
Simeon Denis Poisson,AAAS,Member
John Pond,AAAS,Member
William Hyde Wollaston,AAAS,Member
Thomas Young,AAAS,Member
William Allen,AAAS,Member
John Brazer,AAAS,Member
Edward Tyrell Channing,AAAS,Member
Caleb Cushing,AAAS,Member
Henry Alexander Scammell Dearborn,AAAS,Member
Enoch Hale,AAAS,Member
William Jackson Hooker,AAAS,Member
Samuel Howe,AAAS,Member
Samuel Farmar Jarvis,AAAS,Member
Thomas Nutall,AAAS,Member
Samuel Parkes,AAAS,Member
Willard Phillips,AAAS,Member
Lemuel Shaw,AAAS,Member
Daniel Stansbury,AAAS,Member
Daniel Treadwell,AAAS,Member
John Ware,AAAS,Member
John White Webster,AAAS,Member
Joseph Emerson Worcester,AAAS,Member
James Trecothick Austin,AAAS,Member
George Blake,AAAS,Member
Alexander Hill Everett,AAAS,Member
Robert Hare,AAAS,Member
Samuel Hoar,AAAS,Member
Levi Lincoln,AAAS,Member
Samuel Putnam,AAAS,Member
Leverett Saltonstall,AAAS,Member
James Savage,AAAS,Member
Adam Seybert,AAAS,Member
James Bowdoin,AAAS,Member
Henry James Brooke,AAAS,Member
William Buckland,AAAS,Member
Johann Gottfried Eichhorn,AAAS,Member
John Murray Forbes,AAAS,Member
James Luce Kingsley,AAAS,Member
Manuel Moreno,AAAS,Member
Octavius Pickering,AAAS,Member
Joel Roberts Poinsett,AAAS,Member
Jared Sparks,AAAS,Member
Samuel Sumner Wilde,AAAS,Member
Washington Allston,AAAS,Member
Charles Davies,AAAS,Member
Warren Colburn,AAAS,Member
George Barrell Emerson,AAAS,Member
Charles Folsom,AAAS,Member
Thaddeus William Harris,AAAS,Member
Solomon Pearson Miles,AAAS,Member
Johann Georg Heinrich Hassel,AAAS,Member
Julius von Wallenstein,AAAS,Member
Thomas Bacon,APS,Member
Lynford Lardner,APS,Member
Arthur Lee,APS,Member
Francis L  Lee,APS,Member
Samuel Bowen,APS,Member
Richard Brooke,APS,Member
Landon Carter,APS,Member
Daniel Clark,APS,Member
Myles Cooper,APS,Member
John Jones,APS,Member
Carolus Linnaeus,APS,Member
John Lorimer,APS,Member
John M  Otto,APS,Member
Ebenezer Prime,APS,Member
Samuel Shoemaker,APS,Member
Earl William Alexander,APS,Member
Joel Bailey,APS,Member
Joseph Ellicott,APS,Member
James Ferguson,APS,Member
John Fothergill,APS,Member
Joseph Gilpin,APS,Member
George Guald,APS,Member
John David Hahn,APS,Member
John Morell,APS,Member
Edward Nairne,APS,Member
John Baynton,APS,Member
Henry Benbridge,APS,Member
Samuel Filsted,APS,Member
Archibald Gloucester,APS,Member
Henry Hill,APS,Member
James Lloyd,APS,Member
Frederick W von Marschall,APS,Member
Nevil Maskelyne,APS,Member
Charles A McCall,APS,Member
Samuel Preston Moore,APS,Member
Charles Morton,APS,Member
Joseph Otolenge,APS,Member
William Parr,APS,Member
Thomas Preston,APS,Member
Samuel Rhoads,APS,Member
Richard Thomas,APS,Member
Stephen Adye,APS,Member
Gerard Bancker,APS,Member
Daniel Coxe,APS,Member
Peter Dolland,APS,Member
Thomas Hutchins,APS,Member
Timothy Lane,APS,Member
Henry Laurens,APS,Member
Jesse Lukens,APS,Member
Arch McClean,APS,Member
George Milligan,APS,Member
John Montresor,APS,Member
Samuel Williams,APS,Member
Tobern Bergmann,APS,Member
Thomas Coombe,APS,Member
Baron von Timotheus M  Klingstadt,APS,Member
William Ludlam,APS,Member
Andrew Oliver,APS,Member
Jean B Le Roy,APS,Member
Alexander Small,APS,Member
James Tilton,APS,Member
Nicholas Way,APS,Member
James Bringhurst,APS,Member
William Bryant,APS,Member
Sharp Delany,APS,Member
Andrew Duncan,APS,Member
Bryan Edwards,APS,Member
John Ellis,APS,Member
Jonathan Elmer,APS,Member
George Gauld,APS,Member
John Jones,APS,Member
Walter Jones,APS,Member
James McClurg,APS,Member
Samuel More,APS,Member
Benjamin Morgan,APS,Member
Thomas Parke,APS,Member
John Perkins,APS,Member
Bernard Romans,APS,Member
Lord Mahon Charles Stanhope,APS,Member
Lord Mahon Philips Stanhope,APS,Member
William Wright,APS,Member
Charles Adams,APS,Member
Jacques Barbeu Dubourg,APS,Member
Marquis de M J A N Caritat Condorcet,APS,Member
Louis J M Daubenton,APS,Member
Fortunatus Dwarris,APS,Member
Thomas Gibbons,APS,Member
Samuel Holland,APS,Member
Antoine L Lavoisier,APS,Member
Pierre J Macquer,APS,Member
Benjamin Moseley,APS,Member
Guillaume T F Raynall,APS,Member
Le Roux,APS,Member
Jean F Rozier,APS,Member
George Duffield,APS,Member
James Hutchinson,APS,Member
Charles Pettit,APS,Member
Conrad A Gerard de Rayneval,APS,Member
Jean Joseph Sue,APS,Member
John Adams,APS,Member
Marquis de Francois Barbe Marbois,APS,Member
William Brown,APS,Member
William Carmichael,APS,Member
Arthur St Clair,APS,Member
Robert Erskine,APS,Member
William Grayson,APS,Member
Alexander Hamilton,APS,Member
William C Houston,APS,Member
John Jay,APS,Member
Thomas Jefferson,APS,Member
J C Kunze,APS,Member
John Laurens,APS,Member
Anne C de la Luaerne,APS,Member
Rev James Madison,APS,Member
Timothy Matlack,APS,Member
Baron Friedrich W von Steuben,APS,Member
Jean Baptiste Ternant,APS,Member
Charles Vallancey,APS,Member
George Washington,APS,Member
Anthony Wayne,APS,Member
Thomas Bee,APS,Member
Marquis de Francois J Chastellux,APS,Member
Isaac Gray,APS,Member
Ebenezer Hazard,APS,Member
Jared Ingersoll,APS,Member
Marquis de Motier Theodore Lafayette,APS,Member
Hugh Shiell,APS,Member
Chevalier d Charles F A Le Paulmier Annemours,APS,Member
John Beale Bordley,APS,Member
Jean F Coste,APS,Member
Robert Davidson,APS,Member
Felice Fontana,APS,Member
Antoine Court de Gebilin,APS,Member
Samuel Huntingdon,APS,Member
Robert M  Patterson,APS,Member
Comte Charles C  Labillarderie Angivillier,APS,Member
Jeremy Belknap,APS,Member
Peter J  Van Berckel,APS,Member
Barnabas Binney,APS,Member
Robert Blackwell,APS,Member
Fred F S  de Brahm,APS,Member
Pedro Rodriguez Campomanes,APS,Member
John Dunlap,APS,Member
John Foulke,APS,Member
George Fox,APS,Member
Arch Gamble,APS,Member
George Gray,APS,Member
J H C  Helmuth,APS,Member
Thomas Heyward,APS,Member
Rev  Samuel Magaw,APS,Member
John H  de Magellan,APS,Member
Jonathan D  Sergeant,APS,Member
James Six,APS,Member
John Vaughan,APS,Member
Samuel Vaughan,APS,Member
Comte de Charles G  Vergennes,APS,Member
Frederick E F  Bertholff,APS,Member
Comte de Luc Urbain du Bouexic,APS,Member
William Bradford,APS,Member
Edward Burd,APS,Member
John Carson,APS,Member
Adair Crawford,APS,Member
Manasseh Cutler,APS,Member
Andrew Ellicott,APS,Member
Samuel Powel Griffiths,APS,Member
Samuel G  Hermelin,APS,Member
Sir William Herschel,APS,Member
Hugh James,APS,Member
Thaddeus Kosciusko,APS,Member
James Madison,APS,Member
Joseph Mandrillion,APS,Member
James McHenry,APS,Member
Christian F  Michailis,APS,Member
Henry E  Muhlenberg,APS,Member
Mann Page,APS,Member
Thomas Paine,APS,Member
William Parker,APS,Member
Robert Perceval,APS,Member
Richard Price,APS,Member
Joseph Priestley,APS,Member
Samuel S  Smith,APS,Member
Jean  Baptiste Sue,APS,Member
George Wall,APS,Member
Benjamin Workman,APS,Member
James Beattie,APS,Member
Pierre J G  Cabanis,APS,Member
Conte Luigi Castiglioni,APS,Member
Jacques A C  Charles,APS,Member
George Clymer,APS,Member
Lorenz Crell,APS,Member
Benjamin Duffield,APS,Member
Aime A J  Feutry,APS,Member
William Temple Franklin,APS,Member
Thibert Garbier,APS,Member
Rene G  Gastelier,APS,Member
Granchain,APS,Member
Guillaume Grivel,APS,Member
Thomas Henry,APS,Member
Jonathan Hoge,APS,Member
Jan Ingenhousz,APS,Member
John Andrews,APS,Member
Richard Kirwan,APS,Member
John Morris,APS,Member
Robert Morris,APS,Member
Nicolas Noel,APS,Member
Charles Willson Peale,APS,Member
Thomas Percival,APS,Member
Robert E  Pine,APS,Member
William Rawle,APS,Member
Duc de Louis A  La Rochefoucauld d   Enville,APS,Member
Julien D  Le Roy,APS,Member
Jean L G  Soulavie,APS,Member
Benjamin Vaughan,APS,Member
Samuel Vaughan,APS,Member
Louis G  Le Veillard,APS,Member
Charles H  Wharton,APS,Member
John Whitehurst,APS,Member
William Baker,APS,Member
Sir Joseph Banks,APS,Member
Robert Barclay,APS,Member
Thomas Barnes,APS,Member
William Barton,APS,Member
John Bayard,APS,Member
William Bingham,APS,Member
James Bowdoin,APS,Member
Louis C  Cadet  Gassicourt,APS,Member
Benjamin Chew,APS,Member
Isaac Craig,APS,Member
Enoch Edwards,APS,Member
John Hunter,APS,Member
Joseph James,APS,Member
Francis Johnston,APS,Member
John Johnston,APS,Member
Charles Lennox,APS,Member
John Coakley Lettsom,APS,Member
Hon  John Lowell,APS,Member
Robert Milligan,APS,Member
Sir Edward Newenham,APS,Member
Comte Louis G  Otto,APS,Member
John R B  Rodgers,APS,Member
Thomas Ruston,APS,Member
William W  Smith,APS,Member
George Spence,APS,Member
William Thornton,APS,Member
George Vaux,APS,Member
Antoine A F  Cadet de Vaux,APS,Member
Thomas White,APS,Member
Jonathan Williams,APS,Member
Caspar Wistar,APS,Member
Simeon De Witt,APS,Member
Burgiss Allison,APS,Member
Charles Arthaud,APS,Member
Benjamin Smith Barton,APS,Member
Samuel Beach,APS,Member
Sir Charles Blagden,APS,Member
John Bleakley,APS,Member
David Brearly,APS,Member
Jean P  Brissot,APS,Member
George Buchanan,APS,Member
Pieter Camper,APS,Member
Nicholas Collin,APS,Member
John Cox,APS,Member
Michel G  St  J  de Crevecoeur,APS,Member
Princess Catherine Ekaterina Dashkova,APS,Member
William Findley,APS,Member
Jos  M  de Flores,APS,Member
Diego de Gardoqui,APS,Member
Francis de Gardoqui,APS,Member
Peter Le Gaux,APS,Member
Ashbel Green,APS,Member
Friedrich A  von Heintz,APS,Member
Joshua Humphreys,APS,Member
Walter Minto,APS,Member
George Monroe,APS,Member
Mekeric L E  Moreau,APS,Member
William Paterson,APS,Member
C C  Pinckney,APS,Member
Thomas Pole,APS,Member
David Redick,APS,Member
Benjamin Rittenhouse,APS,Member
James Rumsey,APS,Member
Winthrop Sargent,APS,Member
Franz A  Steinsky,APS,Member
John Stevens,APS,Member
Charles Stuart,APS,Member
James Wilkinson,APS,Member
John Witherspoon,APS,Member
Baron J W K A  Hupsch von Lontxen,APS,Member
Anders Sparman,APS,Member
George Turner,APS,Member
John Walker,APS,Member
Caleb Whitefoord,APS,Member
Alexander Addison,APS,Member
Alexander Anderson,APS,Member
Absalom Baird,APS,Member
John Beckley,APS,Member
Nicholas L  Burmann,APS,Member
Alexander J  Dallas,APS,Member
William Ferguson,APS,Member
Albert Gallatin,APS,Member
Benjamin Gloxin,APS,Member
Robert Goldsbourough,APS,Member
John G  Grosche,APS,Member
John Hoge,APS,Member
James Anderson,APS,Member
Henry Knox,APS,Member
John Luzac,APS,Member
S L  Mitchell,APS,Member
Johann A  Murray,APS,Member
John Nicholson,APS,Member
Peter S  Pallas,APS,Member
John Penington,APS,Member
Thomas Pennant,APS,Member
Peter S  Du Ponceau,APS,Member
Edmund Randolph,APS,Member
Andrew Ross,APS,Member
James Ross,APS,Member
John Smilie,APS,Member
Dugald Stewart,APS,Member
Karl P  Thunberg,APS,Member
Benjamin Waterhouse,APS,Member
Richard P  Barton,APS,Member
Guiseppe Ceracchi,APS,Member
William Currie,APS,Member
Erasmus Darwin,APS,Member
Comte de Antoine R C M  La Forest,APS,Member
Anthony Fothergill,APS,Member
David Jackson,APS,Member
John Page,APS,Member
Baron de Ambroise M F J  Palisot,APS,Member
Conte Paolo Andreani,APS,Member
John Rouelle,APS,Member
William Smith,APS,Member
Uvo van Troil,APS,Member
John Trumbull,APS,Member
Rodolph Valltravers,APS,Member
Nicholas B  Waters,APS,Member
Andre F  de Coupigny,APS,Member
J  Reinhold Forster,APS,Member
George Logan,APS,Member
John W  Lottera,APS,Member
David Nassy,APS,Member
Thomas L  Shippen,APS,Member
Louis Valentin,APS,Member
William Waring,APS,Member
David S  Erskine,APS,Member
James Greenway,APS,Member
James Anderson,APS,Member
John Nancarrow,APS,Member
Gustaf von Carleson,APS,Member
Archibald Cochrane,APS,Member
Robert Leslie,APS,Member
Val Melscheimer,APS,Member
Tim Pickering,APS,Member
Samuel Wheeler,APS,Member
Rev  James Abercrombie,APS,Member
Pierre A  Adet,APS,Member
Nathaniel B  Bedford,APS,Member
Isaac Briggs,APS,Member
Charles Caldwell,APS,Member
Dr  Isaac Cathrall,APS,Member
F H  Le Comte,APS,Member
Tench Coxe,APS,Member
Joanne B  Cunat,APS,Member
Jean Deveze,APS,Member
Louis E  Duhail,APS,Member
Cypriano R  Friere,APS,Member
Jacques M  le F  de Grandpre,APS,Member
Hugh Hodge,APS,Member
Jose de Jaudences,APS,Member
J F  Mifflin,APS,Member
William D  Peck,APS,Member
Francois A F  de la Rochefoucauld  Liancourt,APS,Member
Sir James E  Smith,APS,Member
Charles M  de Talleyrand  Perigord,APS,Member
Luis de Urbina,APS,Member
James Woodhouse,APS,Member
William Bache,APS,Member
Samuel Blair,APS,Member
John Guillemard,APS,Member
William Hamilton,APS,Member
John Heckewilder,APS,Member
Andrews Everardus Van Braam Houckgeest,APS,Member
Thomas C  James,APS,Member
Alexander Martin,APS,Member
Theo  C  Mozard,APS,Member
John Newnan,APS,Member
Thomas Pinckney,APS,Member
Adam Seybert,APS,Member
Rich P  Smith,APS,Member
Samuel H  Smith,APS,Member
John Stuart,APS,Member
Comte Constantin F  Chasseboeuf de Volney,APS,Member
Johann F  Blumenbach,APS,Member
Julian U  Niemcewicz,APS,Member
William Patterson,APS,Member
Giambattista Scandella,APS,Member
Franz A  von Zach,APS,Member
William Boys,APS,Member
Joseph Clay,APS,Member
John R  Coxe,APS,Member
Samuel Elam,APS,Member
Benjamin H  Latrobe,APS,Member
William Maclure,APS,Member
Thomas P  Smith,APS,Member
Justus E  Bollmann,APS,Member
Samuel Brown,APS,Member
William Dunbar,APS,Member
Sir Robert Liston,APS,Member
Samuel Miller,APS,Member
Pierre S  du Pont de Nemours,APS,Member
John R  Smith,APS,Member
Francis Blanchet,APS,Member
Samuel Falberg,APS,Member
Jose J  de Ferrer,APS,Member
Thomas T  Hewson,APS,Member
William Jones,APS,Member
Robert R  Livingston,APS,Member
Gustav Paykull,APS,Member
