Name,Organization,Year Elected,Residency,Status
William Findley,APS,1789,Resident,Member
Jos. M. de Flores,APS,1789,International,Member
Diego de Gardoqui,APS,1789,International,Member
Francis de Gardoqui,APS,1789,International,Member
Peter Le Gaux,APS,1789,Resident,Member
Ashbel Green,APS,1789,Resident,Member
Friedrich A. von Heintz,APS,1789,International,Member
Joshua Humphreys,APS,1789,Resident,Member
Walter Minto,APS,1789,Resident,Member
George Monroe,APS,1789,Resident,Member
Mekeric L.E. Moreau,APS,1789,International,Member
William Paterson,APS,1789,Resident,Member
C.C. Pinckney,APS,1789,Resident,Member
Thomas Pole,APS,1789,International,Member
David Redick,APS,1789,Resident,Member
Benjamin Rittenhouse,APS,1789,Resident,Member
James Rumsey,APS,1789,Resident,Member
Winthrop Sargent,APS,1789,Resident,Member
Franz A. Steinsky,APS,1789,International,Member
John Stevens,APS,1789,Resident,Member
Charles Stuart,APS,1789,International,Member
James Wilkinson,APS,1789,Resident,Member
John Witherspoon,APS,1789,Resident,Member
Baron J.W.K.A. Hupsch von Lontxen,APS,1790,International,Member
Anders Sparman,APS,1790,International,Member
George Turner,APS,1790,Resident,Member
John Walker,APS,1790,International,Member
Caleb Whitefoord,APS,1790,International,Member
Alexander Addison,APS,1791,Resident,Member
Alexander Anderson,APS,1791,Resident,Member
Absalom Baird,APS,1791,Resident,Member
John Beckley,APS,1791,Resident,Member
Nicholas L. Burmann,APS,1791,International,Member
Alexander J. Dallas,APS,1791,Resident,Member
William Ferguson,APS,1791,Resident,Member
Albert Gallatin,APS,1791,Resident,Member
Benjamin Gloxin,APS,1791,International,Member
Robert Goldsbourough,APS,1791,Resident,Member
John G. Grosche,APS,1791,International,Member
John Hoge,APS,1791,Resident,Member
James Anderson,APS,1791,International,Member
Henry Knox,APS,1791,Resident,Member
John Luzac,APS,1791,International,Member
S.L. Mitchell,APS,1791,Resident,Member
Johann A. Murray,APS,1791,Resident,Member
John Nicholson,APS,1791,Resident,Member
Peter S. Pallas,APS,1791,International,Member
John Penington,APS,1791,Resident,Member
Thomas Pennant,APS,1791,International,Member
Peter S. Du Ponceau,APS,1791,Resident,Member
Edmund Randolph,APS,1791,Resident,Member
Andrew Ross,APS,1791,Resident,Member
James Ross,APS,1791,Resident,Member
John Smilie,APS,1791,Resident,Member
Dugald Stewart,APS,1791,International,Member
Karl P. Thunberg,APS,1791,International,Member
Benjamin Waterhouse,APS,1791,Resident,Member
Richard P. Barton,APS,1792,Resident,Member
Guiseppe Ceracchi,APS,1792,International,Member
William Currie,APS,1792,Resident,Member
Erasmus Darwin,APS,1792,International,Member
Comte de Antoine R.C.M. La Forest,APS,1792,International,Member
Anthony Fothergill,APS,1792,International,Member
David Jackson,APS,1792,Resident,Member
John Page,APS,1792,Resident,Member
Baron de Ambroise M.F.J. Palisot,APS,1792,International,Member
Conte Paolo Andreani,APS,1792,International,Member
John Rouelle,APS,1792,Resident,Member
William Smith,APS,1792,Resident,Member
Uvo van Troil,APS,1792,Resident,Member
John Trumbull,APS,1792,Resident,Member
Rodolph Valltravers,APS,1792,Resident,Member
Nicholas B. Waters,APS,1792,Resident,Member
Andre F. de Coupigny,APS,1793,International,Member
J. Reinhold Forster,APS,1793,International,Member
George Logan,APS,1793,Resident,Member
John W. Lottera,APS,1793,Resident,Member
David Nassy,APS,1793,Resident,Member
Thomas L. Shippen,APS,1793,Resident,Member
Louis Valentin,APS,1793,International,Member
William Waring,APS,1793,Resident,Member
David S. Erskine,APS,1794,International,Member
James Greenway,APS,1794,Resident,Member
James Anderson,APS,1794,International,Member
John Nancarrow,APS,1794,Resident,Member
Gustaf von Carleson,APS,1795,International,Member
Archibald Cochrane,APS,1795,International,Member
Robert Leslie,APS,1795,Resident,Member
Val Melscheimer,APS,1795,Resident,Member
Tim Pickering,APS,1795,Resident,Member
Samuel Wheeler,APS,1795,Resident,Member
Rev. James Abercrombie,APS,1796,Resident,Member
Pierre A. Adet,APS,1796,International,Member
Nathaniel B. Bedford,APS,1796,Resident,Member
Isaac Briggs,APS,1796,Resident,Member
Charles Caldwell,APS,1796,Resident,Member
Dr. Isaac Cathrall,APS,1796,Resident,Member
F.H. Le Comte,APS,1796,International,Member
Tench Coxe,APS,1796,Resident,Member
Joanne B. Cunat,APS,1796,International,Member
Jean Deveze,APS,1796,International,Member
Louis E. Duhail,APS,1796,International,Member
Cypriano R. Friere,APS,1796,International,Member
Jacques M. le F. de Grandpre,APS,1796,Resident,Member
Hugh Hodge,APS,1796,Resident,Member
Jose de Jaudences,APS,1796,International,Member
J.F. Mifflin,APS,1796,Resident,Member
William D. Peck,APS,1796,Resident,Member
Francois A.F. de la Rochefoucauld-Liancourt,APS,1796,International,Member
Sir James E. Smith,APS,1796,International,Member
